source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Mazmanyan+St/Achapnyak/Yerevan/142711,142711,87000,"['Heating', 'Internet', 'Hot water', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Balcony', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Achapnyak, Mazmanyan St",60,2,1,5,Stone,Good,2.8 M,1,,01.12.2023,1,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Bashinjaxyan+St/Achapnyak/Yerevan/142709,142709,76500,"['Heating', 'Hot water', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Sunny', 'View', 'Close to the bus station', 'Playground']","Yerevan, Achapnyak, Bashinjaxyan St",48,2,4,5,Stone,Good,2.8 M,1,,01.12.2023,7,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Griboedov+St/Arabkir/Yerevan/142707,142707,150000,"['Heating', 'Gas', 'Hot water', 'Air-conditioner', 'Electricity', 'Water', 'Sewerage, Canalization', 'Furniture', 'Equipment', 'Open balcony', 'Parking']","Yerevan, Arabkir, Griboedov St",93,3,5,5,Stone,Good,2.8 M,1,,01.12.2023,2,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/142704,142704,420000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Security system', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Park', 'Elevator']","Yerevan, Center, Northern (Hyusisayin) Ave",80,2,4,10,Monolit,Newly repaired,3 M,2,,01.12.2023,17,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/K.+Ulnetsi+St/Qanaqer-Zeytun/Yerevan/142703,142703,95000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground']","Yerevan, Qanaqer-Zeytun, K. Ulnetsi St",74,3,2,5,Panel,Newly repaired,2.8 M,1,,01.12.2023,17,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Griboedov+St/Arabkir/Yerevan/142702,142702,167000,"['Heating', 'Gas', 'Hot water', 'Air-conditioner', 'Electricity', 'water 24/7', 'Water']","Yerevan, Arabkir, Griboedov St",80,3,5,5,Stone,Good,2.8 M,2,,01.12.2023,15,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Mher+Mkrtchyan+St/Center/Yerevan/142701,142701,218000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Security system', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground', 'Park', 'Elevator']","Yerevan, Center, Mher Mkrtchyan St",94,3,7,7,Monolit,Newly repaired,2.8 M,1,,01.12.2023,15,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Bashinjaxyan+St/Achapnyak/Yerevan/142700,142700,105000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Euro windows', 'Grating ', 'Iron door', 'Open balcony', 'Basement', 'Security system', 'Sunny', 'View', 'Bilateral', 'Roadside', 'Close to the bus station', 'Parking', 'Playground', 'High first floor']","Yerevan, Achapnyak, Bashinjaxyan St",80,3,1,5,Stone,Newly repaired,2.8 M,1,,01.12.2023,20,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/142696,142696,1900000,[],"Yerevan, Center, Northern (Hyusisayin) Ave",200,4,5,10,Monolit,Newly repaired,3 M,2,,01.12.2023,30,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Charents+St/Center/Yerevan/142695,142695,209000,"['Sewerage, Canalization', 'Water', 'water 24/7', 'Electricity', 'Gas', 'Iron door', 'Parking', 'Close to the bus station', 'View', 'Sunny', 'Euro windows', 'Elevator', 'Open balcony']","Yerevan, Center, Charents St",93,4,7,15,Monolit,Zero condition,3 M,1,,01.12.2023,38,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Deghatan+St/Center/Yerevan/142693,142693,280000,[],"Yerevan, Center, Deghatan St",105,3,6,8,Monolit,Newly repaired,3 M,2,,30.11.2023,126,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Komitas+Ave/Arabkir/Yerevan/142692,142692,125000,"['water 24/7', 'Electricity', 'Air-conditioner', 'Internet', 'Hot water', 'Gas', 'Heating', 'Garage', 'Playground', 'Close to the bus station', 'Sunny', 'Laminate flooring', 'Heated floor', 'Equipment', 'Furniture']","Yerevan, Arabkir, Komitas Ave",85,4,1,6,Stone,Good,2.8 M,2,,30.11.2023,110,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Mikoyan+St/Davtashen/Yerevan/142691,142691,158000,"['Electricity', 'water 24/7']","Yerevan, Davtashen, Mikoyan St",81,3,4,15,Other,Zero condition,3.8 M,2,,30.11.2023,122,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Mikoyan+St/Davtashen/Yerevan/142690,142690,180000,"['Open balcony', 'Sunny', 'Parking']","Yerevan, Davtashen, Mikoyan St",110,3,14,18,Monolit,Zero condition,3 M,1,,30.11.2023,113,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Hr.Kochar+St/Arabkir/Yerevan/142682,142682,93000,"['Heating', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny']","Yerevan, Arabkir, Hr.Kochar St",39,2,5,5,Other,Newly repaired,2.8 M,1,,30.11.2023,106,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Hr.Kochar+St/Arabkir/Yerevan/142680,142680,123500,"['Heating', 'Gas', 'Electricity', 'water 24/7', 'Water', 'Sewerage, Canalization', 'Euro windows', 'Tile', 'Iron door']","Yerevan, Arabkir, Hr.Kochar St",58,2,5,5,Stone,Newly repaired,2.8 M,1,,30.11.2023,97,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/V.Papazyan+St/Arabkir/Yerevan/142670,142670,155000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground']","Yerevan, Arabkir, V.Papazyan St",68,2,1,2,Stone,Newly repaired,2.8 M,1,,30.11.2023,104,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Sevak+St/Qanaqer-Zeytun/Yerevan/142669,142669,160000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Security system', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Garage']","Yerevan, Qanaqer-Zeytun, Sevak St",139000,3,5,5,Stone,Newly repaired,2.8 M,2,,30.11.2023,90,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Tigran+Petrosyan+St/Davtashen/Yerevan/142668,142668,152000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'View', 'Parking', 'Playground', 'Elevator']","Yerevan, Davtashen, Tigran Petrosyan St",68,3,5,5,Monolit,Newly repaired,3 M,1,,30.11.2023,127,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Bashinjaxyan+St/Achapnyak/Yerevan/142667,142667,105000,"['Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Euro windows', 'Grating ', 'Iron door', 'Open balcony', 'Basement', 'Security system', 'Sunny', 'View', 'Bilateral', 'Roadside', 'Close to the bus station', 'Parking', 'Playground', 'High first floor']","Yerevan, Achapnyak, Bashinjaxyan St",80,3,1,5,Stone,Newly repaired,2.8 M,1,,30.11.2023,89,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Aghbyur+Serob+St/Arabkir/Yerevan/142666,142666,220000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Security system', 'Sunny', 'View', 'Parking', 'Elevator']","Yerevan, Arabkir, Aghbyur Serob St",90,3,5,10,Monolit,Newly repaired,3 M,1,,30.11.2023,105,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/G.+Hovsepyan+St/Norq+Marash/Yerevan/142664,142664,225000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Security system', 'Sunny', 'View', 'Parking', 'Elevator']","Yerevan, Norq Marash, G. Hovsepyan St",110,3,4,4,Monolit,Newly repaired,3 M,1,,30.11.2023,98,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Komitas+Ave/Arabkir/Yerevan/142663,142663,205000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'Elevator']","Yerevan, Arabkir, Komitas Ave",64,3,8,17,Monolit,Newly repaired,3.2 M,1,,30.11.2023,109,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Mikoyan+St/Davtashen/Yerevan/142658,142658,180000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Parquet', 'Sunny', 'View', 'Playground', 'Elevator']","Yerevan, Davtashen, Mikoyan St",76,3,8,16,Monolit,Newly repaired,3 M,1,,30.11.2023,102,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Tigran+Mets+Ave/Center/Yerevan/142657,142657,140000,"['Water', 'water 24/7', 'Electricity', 'Internet', 'Hot water', 'Gas', 'Heating', 'Euro windows', 'Open balcony', 'Equipment', 'Furniture', 'Parquet', 'Sunny', 'View', 'Close to the bus station', 'Roadside']","Yerevan, Center, Tigran Mets Ave",90,3,5,5,Stone,Good,3 M,1,,30.11.2023,101,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Abovyan+St/Center/Yerevan/142656,142656,400000,"['Water', 'water 24/7', 'Electricity', 'Hot water', 'Gas', 'Heating', 'Iron door', 'Roadside', 'Close to the bus station', 'Sunny', 'Tile', 'Euro windows', 'Open balcony']","Yerevan, Center, Abovyan St",145,4,2,3,Stone,Good,3.2 M,1,,30.11.2023,104,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/142653,142653,400000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Sunny', 'View', 'Elevator']","Yerevan, Center, Northern (Hyusisayin) Ave",87,3,5,10,Monolit,Newly repaired,3 M,2,,29.11.2023,82,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Vardanants+St/Center/Yerevan/142652,142652,270000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Parquet', 'Sunny', 'View', 'Bilateral', 'Roadside', 'Close to the bus station', 'Playground']","Yerevan, Center, Vardanants St",104,4,5,5,Stone,Newly repaired,3.2 M,1,,29.11.2023,142,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Azatutyan+Ave/Arabkir/Yerevan/142648,142648,88000,"['Heating', 'Gas', 'Hot water', 'Internet', 'Electricity', 'water 24/7', 'Furniture', 'Equipment', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Arabkir, Azatutyan Ave",47,2,4,5,Stone,Good,2.8 M,1,,29.11.2023,170,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Nor+Aresh+12+St/Erebuni/Yerevan/142649,142649,90000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Euro windows', 'Iron door', 'Balcony', 'Tile', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Playground', 'Park', 'Elevator']","Yerevan, Erebuni, Nor Aresh 12 St",44,2,9,9,Panel,Good,3 M,1,,29.11.2023,131,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142645,142645,159000,[],"Yerevan, Center, Antarayin St",70,2,2,5,Monolit,Zero condition,3 M,1,,29.11.2023,132,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Arxutyan+St/Arabkir/Yerevan/142640,142640,269000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Open balcony', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Arabkir, Arxutyan St",80,3,9,14,Monolit,Newly repaired,3 M,2,,28.11.2023,179,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/142638,142638,400000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Open balcony', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Center, Northern (Hyusisayin) Ave",87,3,5,10,Monolit,Newly repaired,3 M,2,,28.11.2023,196,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Avan-Arinj+1+micro/Avan/Yerevan/142637,142637,65000,"['Hot water', 'Electricity', 'Gas', 'water 24/7', 'Euro windows', 'Balcony', 'Tile', 'Laminate flooring', 'Sunny', 'Elevator']","Yerevan, Avan, Avan-Arinj 1 micro",48,1,13,14,Panel,Newly repaired,2.8 M,1,,28.11.2023,162,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/142635,142635,229000,[],"Yerevan, Center, Saryan St",81,3,4,5,Stone,Good,2.8 M,1,,28.11.2023,142,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Mashtots+Ave/Center/Yerevan/142633,142633,184000,[],"Yerevan, Center, Mashtots Ave",40,2,2,5,Stone,Newly repaired,3 M,1,,28.11.2023,118,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Abovyan+St/Center/Yerevan/142628,142628,175000,[],"Yerevan, Center, Abovyan St",53,1,4,5,Stone,Good,2.8 M,1,,28.11.2023,128,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Argishti+St/Center/Yerevan/142627,142627,162000,"['Heating', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny', 'Elevator']","Yerevan, Center, Argishti St",65,2,12,14,Monolit,Newly repaired,2.8 M,1,,28.11.2023,181,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Keri+St/Arabkir/Yerevan/142626,142626,165000,"['Heating', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny', 'Elevator']","Yerevan, Arabkir, Keri St",81,2,6,18,Monolit,Newly repaired,2.8 M,1,,28.11.2023,133,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Azatutyan+Ave/Arabkir/Yerevan/142624,142624,132000,"['water 24/7', 'Electricity', 'Hot water', 'Gas', 'Sunny', 'Parquet', 'Tile', 'Euro windows', 'Elevator', 'Balcony']","Yerevan, Arabkir, Azatutyan Ave",84,1,11,11,Other,Good,2.8 M,1,,28.11.2023,139,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/A.+Babajanyan+St/Malatia-Sebastia/Yerevan/142615,142615,92000,"['Heating', 'Hot water', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Euro windows', 'Open balcony', 'Security system', 'View', 'Playground', 'Park', 'Elevator']","Yerevan, Malatia-Sebastia, A. Babajanyan St",56,2,10,14,Monolit,Zero condition,3 M,1,,27.11.2023,92,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Adonts+St/Arabkir/Yerevan/142602,142602,138000,"['Gas', 'Electricity', 'Water', 'Open balcony', 'Elevator', 'Euro windows', 'Tile', 'Laminate flooring', 'Sunny', 'View', 'Park', 'Security system']","Yerevan, Arabkir, Adonts St",56,2,10,14,Monolit,Newly repaired,3 M,1,,27.11.2023,180,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Norashen+district/Achapnyak/Yerevan/142596,142596,110000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'water 24/7', 'Furniture', 'Equipment', 'Balcony', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Park', 'Elevator']","Yerevan, Achapnyak, Norashen district",84,3,9,16,Panel,Newly repaired,2.8 M,1,,27.11.2023,144,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142594,142594,365000,"['Heating', 'Hot water', 'Internet', 'Electricity', 'water 24/7', 'Water', 'Furniture', 'Equipment', 'Open balcony', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Center, Antarayin St",97,3,5,8,Monolit,Newly repaired,2.8 M,1,,27.11.2023,173,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/K.+Ulnetsi+St/Qanaqer-Zeytun/Yerevan/142589,142589,270000,"['Water', 'Electricity', 'Gas', 'Garage', 'View', 'Sunny', 'Euro windows', 'Elevator', 'Open balcony']","Yerevan, Qanaqer-Zeytun, K. Ulnetsi St",139,4,6,16,Monolit,Zero condition,3 M,2,,27.11.2023,159,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/142583,142583,235000,"['Heating', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Elevator']","Yerevan, Center, Saryan St",76,2,3,10,Panel,Newly repaired,2.8 M,1,,25.11.2023,274,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Sisakyan+St/Achapnyak/Yerevan/142581,142581,95000,"['water 24/7', 'Electricity', 'Hot water', 'Gas', 'Heating', 'Laminate flooring', 'Tile', 'Euro windows', 'Elevator']","Yerevan, Achapnyak, Sisakyan St",62,2,11,12,Monolit,Good,2.8 M,1,,25.11.2023,302,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Tigran+Mets+Ave/Center/Yerevan/142580,142580,80000,"['water 24/7', 'Electricity', 'Gas', 'Tile', 'Elevator', 'Furniture']","Yerevan, Center, Tigran Mets Ave",40,1,8,14,Panel,Good,2.8 M,1,,25.11.2023,297,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Tpagrichner+St/Center/Yerevan/142579,142579,120000,"['water 24/7', 'Electricity', 'Air-conditioner', 'Hot water', 'Gas', 'Sunny', 'Tile', 'Euro windows', 'Open balcony', 'Equipment', 'Furniture']","Yerevan, Center, Tpagrichner St",38,1,4,5,Stone,Newly repaired,2.8 M,1,,25.11.2023,215,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Gyulbenkyan+St/Arabkir/Yerevan/142578,142578,165000,"['water 24/7', 'Electricity', 'Gas', 'Parquet', 'Tile', 'Elevator', 'Open balcony']","Yerevan, Arabkir, Gyulbenkyan St",106,4,14,14,Panel,Good,2.8 M,1,,25.11.2023,157,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Komitas+Ave/Arabkir/Yerevan/142577,142577,130000,"['water 24/7', 'Electricity', 'Gas', 'Heating', 'Sunny', 'Laminate flooring', 'Tile', 'Euro windows', 'Elevator', 'Balcony']","Yerevan, Arabkir, Komitas Ave",80,3,13,14,Panel,Good,2.8 M,1,,25.11.2023,186,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Sebastia+str/Malatia-Sebastia/Yerevan/142556,142556,110000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Iron door', 'Balcony', 'Basement', 'Tile', 'Laminate flooring', 'Roadside', 'Close to the bus station', 'Parking']","Yerevan, Malatia-Sebastia, Sebastia str",76,4,2,6,Stone,Good,2.6 M,1,,24.11.2023,240,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Komitas+Ave/Arabkir/Yerevan/142552,142552,265000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Balcony', 'Sunny', 'Close to the bus station']","Yerevan, Arabkir, Komitas Ave",105,3,4,5,Stone,Newly repaired,3.2 M,2,,24.11.2023,203,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Shinararner+St/Achapnyak/Yerevan/142547,142547,53351,"['water 24/7', 'Electricity', 'Internet', 'Hot water', 'Gas', 'Sunny', 'Tile', 'Euro windows', 'Open balcony']","Yerevan, Achapnyak, Shinararner St",32,1,4,4,Stone,Good,2.6 M,1,,23.11.2023,306,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Nalbandyan+St/Center/Yerevan/142546,142546,140000,"['water 24/7', 'Electricity', 'Air-conditioner', 'Hot water', 'Gas', 'Laminate flooring', 'Tile', 'Euro windows', 'Equipment', 'Furniture']","Yerevan, Center, Nalbandyan St",37,1,2,6,Stone,Newly repaired,2.8 M,1,,23.11.2023,228,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Khaghagh+Don+St/Erebuni/Yerevan/142541,142541,125000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Laminate flooring', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Erebuni, Khaghagh Don St",80,3,8,9,Panel,Newly repaired,3 M,1,,23.11.2023,187,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Hanrapetutyan+St/Center/Yerevan/142533,142533,339000,"['Heating', 'Internet', 'Hot water', 'Air-conditioner', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Tile', 'Parquet', 'Sunny']","Yerevan, Center, Hanrapetutyan St",100,3,2,6,Stone,Newly repaired,2.8 M,2,,23.11.2023,209,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142530,142530,295000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Open balcony', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Center, Antarayin St",86,3,4,6,Monolit,Newly repaired,3 M,1,,23.11.2023,246,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Gusan+Sheram+St/Malatia-Sebastia/Yerevan/142529,142529,90000,"['Heating', 'Hot water', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Sunny', 'Close to the bus station', 'High first floor']","Yerevan, Malatia-Sebastia, Gusan Sheram St",76,3,5,5,Stone,Newly repaired,3 M,1,,22.11.2023,300,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Artashisyan+St/Shengavit/Yerevan/142528,142528,100000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Balcony', 'Storage room', 'Tile', 'Laminate flooring', 'Parquet', 'Heated floor', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'High first floor', 'Elevator']","Yerevan, Shengavit, Artashisyan St",77,3,9,9,Panel,Newly repaired,3 M,1,,22.11.2023,222,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Tigran+Mets+Ave/Center/Yerevan/142527,142527,158000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Parquet', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Elevator']","Yerevan, Center, Tigran Mets Ave",71,3,12,14,Panel,Newly repaired,3 M,1,,22.11.2023,272,,,,,,,,,,,,,,,
