,source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
0,bars,4-3-1430,130000.0,60.5,2.0,3.0,13.0,1.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442,1691,10176,6088,867,6157,5,5,2,1,0,0,0,0,0,1,0,0,0,1,0,0
1,bars,4-3-1430.1,215000.0,96.1,3.0,4.0,13.0,2.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442,1691,10176,6088,867,6157,5,5,2,1,0,0,0,0,0,1,0,0,0,1,0,0
2,bars,1-N-432,560000.0,156.4,4.0,9.0,17.0,2.0,0,1,0,1,1,0,1,1,44.583870697678144,40.21673211791397,6767,17145,8266,7951,11537,7,11,2,0,0,0,0,0,0,1,0,0,1,0,0,0
3,bars,1-N-429,410000.0,75.0,3.0,3.0,12.0,2.0,0,1,0,1,1,1,1,0,44.50449735,40.1832187,951,9481,4641,1805,4544,1,7,6,3,1,1,1,0,0,1,0,0,1,0,0,0
4,bars,1-A-118,420000.0,138.0,4.0,3.0,5.0,2.0,0,1,0,0,1,0,1,0,44.51228432718437,40.19590302536037,1126,10663,5501,1578,6098,0,1,4,0,0,1,0,0,0,1,0,0,1,0,0,0
5,bars,1-3-2096,339000.0,100.0,3.0,2.0,6.0,1.0,0,0,0,0,1,1,1,1,44.519048808509375,40.177015330930764,1054,10441,3367,3108,4549,7,10,10,1,0,0,0,0,0,1,0,0,1,0,0,0
6,bars,1-A-123,500000.0,107.0,3.0,5.0,7.0,2.0,0,1,0,1,1,1,1,1,44.51228432718437,40.19590302536037,1126,10663,5501,1578,6098,0,1,4,0,0,1,0,0,0,1,0,0,1,0,0,0
7,bars,1-N-403,520000.0,121.0,3.0,6.0,21.0,1.0,0,0,0,0,1,1,1,1,44.583870697678144,40.21673211791397,6767,17145,8266,7951,11537,7,11,2,0,0,0,0,0,0,1,0,0,1,0,0,0
8,bars,1-3-1721,225000.0,101.0,3.0,6.0,5.0,1.0,0,1,0,0,0,1,1,1,44.51808492499669,40.187096641397815,282,10714,4406,2352,5431,6,21,2,0,1,2,1,2,0,1,0,0,1,0,0,0
9,bars,6-NM3-7,170000.0,100.0,3.0,6.0,10.0,2.0,1,1,0,0,1,0,0,0,44.552282393219535,40.19046429667407,3198,13576,4554,5025,7583,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10,bars,4-3-1433,225000.0,125.0,3.0,6.0,16.0,2.0,0,0,0,1,1,1,1,1,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,1,0,0,1,0,0,0
11,bars,4-3-1434,295000.0,105.0,3.0,3.0,5.0,2.0,0,0,0,0,0,1,1,1,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,1,0,0,1,0,0,0
12,bars,4-3-1431,160000.0,95.0,3.0,4.0,5.0,1.0,0,1,0,0,0,0,0,0,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,1,0,0,0,1,0,0
13,bars,1-2-991,290000.0,55.0,2.0,1.0,5.0,1.0,0,1,0,0,0,1,1,1,44.505052000470215,40.183781674798254,887,9548,4660,1776,4619,3,6,6,2,1,1,2,0,0,1,0,0,1,0,0,0
14,bars,4-2-201,135000.0,55.3,2.0,11.0,13.0,1.0,0,0,0,1,1,1,1,0,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,1,0,0,1,0,0,0
15,bars,1-B-97,450000.0,84.6,2.0,4.0,16.0,1.0,0,0,0,1,1,0,1,1,44.55827345658594,40.199176396159615,3949,14382,5625,5481,8617,3,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0
16,bars,4-3-1432,205000.0,64.0,3.0,8.0,14.0,1.0,0,1,0,1,1,1,1,1,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,1,0,0,1,0,0,0
17,bars,4-3-1412,220000.0,90.0,3.0,2.0,5.0,1.0,0,1,0,0,0,1,1,1,44.48842560030741,40.19502146089586,2477,8852,6524,517,5575,6,4,4,0,0,4,0,1,0,1,0,0,1,0,0,0
18,bars,1-2-990,250000.0,50.0,2.0,2.0,5.0,1.0,0,1,0,0,0,1,1,1,44.5215976,40.18607885,552,10953,4189,2668,5493,7,25,3,0,2,4,1,4,0,1,0,0,1,0,0,0
19,bars,4-3-1181,160000.0,91.0,4.0,3.0,5.0,1.0,0,1,0,0,0,0,0,0,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,1,0,0,1,0,0,0
20,bars,1-3-1912,120000.0,85.0,3.0,2.0,4.0,1.0,0,1,0,0,0,0,0,0,44.45609932611657,40.15477242139723,6097,4733,7051,5705,2755,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,bars,6-NM3-6,400000.0,100.0,3.0,1.0,5.0,2.0,1,1,0,0,1,0,0,0,44.47934247499251,40.15066008382748,4966,6703,5061,5322,844,7,6,1,1,0,0,3,0,0,1,0,0,0,1,0,0
22,bars,1-3-2132,190000.0,84.0,3.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,44.5273774,40.17699785,1446,11125,3073,3634,5017,1,2,4,0,0,3,1,0,0,0,0,1,0,1,0,0
23,bars,6-ACH3-126,85000.0,56.0,3.0,5.0,5.0,1.0,0,0,0,0,0,0,1,1,44.476933542701154,40.20438901998362,3832,8701,7951,1636,6656,10,14,1,0,0,0,3,2,0,0,0,1,1,0,0,0
24,bars,4-3-1427,115000.0,83.0,3.0,7.0,14.0,1.0,0,0,0,0,0,0,0,0,44.50164222859443,40.19625902492543,1614,9886,5964,676,5864,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1
25,bars,4-2-203,95000.0,37.0,2.0,2.0,5.0,1.0,0,0,0,0,0,0,1,0,44.51872985,40.20413115,2039,11580,6172,2253,7152,3,8,2,1,0,0,1,0,0,1,0,0,1,0,0,0
26,bars,6-NM2-5,108000.0,55.18,2.0,4.0,5.0,1.0,1,1,0,0,0,0,0,0,44.47934247499251,40.15066008382748,4966,6703,5061,5322,844,7,6,1,1,0,0,3,0,0,1,0,0,0,1,0,0
27,bars,6-D3-208,124000.0,105.0,3.0,2.0,14.0,1.0,0,0,0,0,1,0,0,0,44.4701813882256,40.21611126911036,5075,9240,9317,2901,8027,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28,bars,6-D3-207,163000.0,72.0,3.0,2.0,11.0,1.0,0,1,0,0,1,0,1,0,44.4567380668362,40.166016462777485,5432,5016,7184,4685,3409,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29,bars,4-3-23,200000.0,110.0,4.0,3.0,5.0,2.0,0,0,0,0,0,1,1,1,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,1,0,0,1,0,0,0
30,bars,4-2-151,125000.0,80.0,2.0,14.0,16.0,1.0,0,0,0,0,0,0,0,0,44.49978402004816,40.19794363418706,1858,9844,6206,515,6014,8,6,0,1,0,0,0,0,0,0,1,0,0,1,0,0
31,bars,4-1-27,90000.0,46.5,1.0,2.0,7.0,1.0,0,0,0,0,0,0,0,0,44.57251521346963,40.21266289465016,5707,16080,7448,6902,10533,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
32,bars,4-3-1426,180000.0,113.0,4.0,3.0,5.0,2.0,0,1,0,0,0,1,1,0,44.4972968,40.20489739999999,2588,10091,6976,902,6740,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0
33,bars,4-3-1428,156000.0,84.0,3.0,8.0,14.0,1.0,0,0,0,0,1,1,0,0,44.491346750379165,40.19366433254226,2189,8985,6248,448,5440,6,1,3,1,0,1,0,2,0,0,1,0,0,0,0,1
34,bars,1-N-428,360000.0,121.0,4.0,11.0,13.0,2.0,1,1,0,0,1,0,0,0,44.499472776670245,40.180107053322125,1479,8960,4673,1965,4080,1,6,7,1,0,0,0,2,0,1,0,0,0,1,0,0
35,bars,4-3-1396,192000.0,67.0,3.0,7.0,14.0,1.0,0,1,0,0,1,0,1,1,44.499155086504345,40.19562050194883,1725,9667,6020,490,5750,7,3,1,2,0,0,2,0,0,1,0,0,1,0,0,0
36,bars,1-3-2131,330000.0,108.0,4.0,2.0,5.0,2.0,0,1,0,0,0,1,1,0,44.51642634119875,40.18161375666288,500,10375,3922,2592,4837,5,32,10,0,2,0,1,0,0,0,0,1,0,1,0,0
37,bars,4-2-205,105000.0,59.0,2.0,1.0,14.0,1.0,0,0,0,0,1,0,1,1,44.48897174994312,40.20145330939894,2806,9293,7051,621,6292,2,3,0,1,1,1,2,1,0,0,1,0,1,0,0,0
38,bars,4-3-1424,285000.0,81.0,3.0,6.0,10.0,2.0,0,1,0,0,1,1,1,1,44.4979285663246,40.20385877909912,2463,10068,6850,815,6633,10,8,1,1,0,0,0,0,0,1,0,0,1,0,0,0
39,bars,4-3-1423,410000.0,165.0,5.0,8.0,8.0,4.0,1,1,0,0,1,0,0,0,44.52141545745753,40.160291821818525,2908,10314,1822,4731,3472,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
40,bars,4-3-1421,193000.0,97.0,3.0,5.0,8.0,2.0,1,0,0,0,1,0,0,0,44.52141545745753,40.160291821818525,2908,10314,1822,4731,3472,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
41,bars,4-3-1420,201000.0,81.0,3.0,5.0,8.0,2.0,1,1,0,0,1,0,0,0,44.52141545745753,40.160291821818525,2908,10314,1822,4731,3472,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
42,bars,4-2-157,290000.0,110.0,4.0,5.0,7.0,2.0,1,1,0,0,1,0,0,0,44.50164222859443,40.19625902492543,1614,9886,5964,676,5864,3,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0
43,bars,4-2-204,110000.0,75.0,2.0,3.0,9.0,1.0,0,1,0,0,1,1,1,0,44.4972968,40.20489739999999,2588,10091,6976,902,6740,5,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1
44,bars,6-Sh2-50,105000.0,44.0,2.0,10.0,12.0,1.0,0,0,0,0,1,0,1,1,44.47162875,40.14904435,5524,6056,5720,5679,1293,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
45,bars,1-DH-11,533920.0,166.85,4.0,5.0,8.0,2.0,1,0,0,1,1,0,1,0,44.50523170804844,40.19493042144863,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0
46,bars,1-DH-12,591850.0,169.1,4.0,6.0,8.0,2.0,1,0,0,1,1,0,1,0,44.50523170804844,40.19493042144863,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0
47,bars,1-DH-21,528300.0,176.1,4.0,3.0,8.0,2.0,1,0,0,1,1,0,1,0,44.50523170804844,40.19493042144863,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0
48,bars,1-DH-20,555520.0,179.2,5.0,3.0,5.0,2.0,1,0,0,1,1,0,1,0,44.50523170804844,40.19493042144863,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0
49,bars,1-DH-25,558360.0,169.2,4.0,5.0,5.0,2.0,1,0,0,1,1,0,1,0,44.50523170804844,40.19493042144863,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0
50,bars,1-DH-27,519050.0,148.3,4.0,6.0,8.0,2.0,1,0,0,1,1,0,1,0,44.50523170804844,40.19493042144863,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0
51,bars,1-N-43,450000.0,157.0,4.0,6.0,6.0,2.0,0,0,0,1,1,0,1,0,44.5247969,40.17890785,1141,10968,3347,3331,5023,1,6,7,1,0,7,1,0,0,1,0,0,1,0,0,0
52,bars,4-3-1382,315000.0,131.0,4.0,5.0,7.0,2.0,1,1,0,0,1,0,1,0,44.52141545745753,40.160291821818525,2908,10314,1822,4731,3472,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
53,bars,4-3-1419,270000.0,90.0,3.0,4.0,9.0,2.0,0,0,0,0,1,0,1,0,44.50164222859443,40.19625902492543,1614,9886,5964,676,5864,3,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0
54,bars,1-3-2627,359000.0,98.0,4.0,2.0,5.0,1.0,0,0,0,0,0,0,1,1,44.51548071604492,40.19013906690871,461,10637,4805,2005,5623,4,12,1,1,0,1,3,0,0,0,0,1,1,0,0,0
55,bars,4-3-1418,255000.0,110.0,3.0,2.0,5.0,2.0,0,0,0,0,1,0,1,1,44.50603348930943,40.19194689069822,1014,9991,5360,1195,5503,3,8,1,0,0,1,0,0,0,1,0,0,1,0,0,0
56,bars,1-3-2003,420000.0,180.0,4.0,4.0,4.0,2.0,0,1,0,0,0,1,0,0,44.5215976,40.18607885,552,10953,4189,2668,5493,7,25,3,0,2,4,1,4,0,1,0,0,1,0,0,0
57,bars,6-Ach3-124,115000.0,76.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.4684631,40.199323,4228,7789,8057,2162,6227,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,bars,1-3-2097,270000.0,92.0,3.0,6.0,8.0,2.0,0,1,0,0,1,1,1,0,44.505052000470215,40.183781674798254,887,9548,4660,1776,4619,3,6,6,2,1,1,2,0,0,1,0,0,1,0,0,0
59,bars,4-3-1416,178000.0,100.0,3.0,5.0,5.0,1.0,0,1,0,0,0,1,1,0,44.509269992836,40.20967865714541,2678,11229,7014,1908,7471,2,1,2,1,0,1,1,1,0,0,0,1,1,0,0,0
60,bars,1-N-415,585000.0,140.0,4.0,5.0,16.0,3.0,1,0,0,0,1,0,0,0,44.50439786901182,40.18091474247,1069,9384,4450,2027,4301,8,15,5,2,0,1,1,1,0,1,0,0,0,1,0,0
61,bars,1-3-2084,360000.0,86.0,3.0,4.0,4.0,1.0,0,1,0,0,0,1,1,0,44.52381655212627,40.19066524195801,904,11312,4614,2653,6023,2,8,5,0,0,18,1,5,0,0,0,1,1,0,0,0
62,bars,4-3-1415,145000.0,70.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.51872985,40.20413115,2039,11580,6172,2253,7152,3,8,2,1,0,0,1,0,0,1,0,0,1,0,0,0
63,bars,1-3-2114,220000.0,71.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.50439786901182,40.18091474247,1069,9384,4450,2027,4301,8,15,5,2,0,1,1,1,0,0,0,1,1,0,0,0
64,bars,53896,75000.0,78.0,3.0,2.0,4.0,1.0,0,1,0,1,0,0,1,0,44.5273774,40.17699785,1446,11125,3073,3634,5017,1,2,4,0,0,3,1,0,0,1,0,0,0,1,0,0
65,bars,1-1-441,150000.0,42.0,1.0,5.0,8.0,1.0,0,1,0,0,1,0,0,0,44.5215976,40.18607885,552,10953,4189,2668,5493,7,25,3,0,2,4,1,4,0,1,0,0,0,1,0,0
66,bars,4-3-1435,260000.0,130.0,4.0,9.0,9.0,1.0,0,1,0,1,1,1,1,1,44.49978402004816,40.19794363418706,1858,9844,6206,515,6014,8,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0
67,bars,4-1-4,150000.0,50.0,1.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,44.50603348930943,40.19194689069822,1014,9991,5360,1195,5503,3,8,1,0,0,1,0,0,0,0,0,1,1,0,0,0
68,bars,5-2-325,220000.0,76.0,2.0,14.0,15.0,1.0,0,1,0,0,1,1,1,1,44.49141207406966,40.19293930149094,2154,8949,6183,518,5360,5,0,3,1,0,1,0,2,0,1,0,0,1,0,0,0
69,bars,4-3-1414,153000.0,78.0,3.0,3.0,5.0,1.0,0,1,0,0,0,0,0,1,44.499155086504345,40.19562050194883,1725,9667,6020,490,5750,7,3,1,2,0,0,2,0,0,0,0,1,1,0,0,0
70,bars,1-3-2124,430000.0,200.0,5.0,3.0,8.0,3.0,0,0,0,0,1,1,1,0,44.4201581,40.18735935,8065,4241,10877,6349,7309,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
71,bars,4-3-1411,160000.0,82.0,3.0,1.0,3.0,1.0,0,0,1,0,0,1,0,1,44.527093186775616,40.20956602303578,2811,12498,6611,3143,7997,2,12,2,1,0,1,2,4,0,1,0,0,1,0,0,0
72,bars,2-1-48,145000.0,37.0,1.0,4.0,4.0,1.0,0,0,0,0,0,0,1,0,44.51344849450384,40.1767382062846,1039,9975,3605,2826,4245,3,19,13,0,0,1,0,0,0,0,0,1,1,0,0,0
73,bars,4-3-1162,275000.0,97.0,3.0,15.0,16.0,2.0,0,1,0,0,1,1,1,1,44.48842560030741,40.19502146089586,2477,8852,6524,517,5575,6,4,4,0,0,4,0,1,0,1,0,0,1,0,0,0
74,bars,1-N-426,450000.0,100.0,3.0,9.0,13.0,2.0,0,1,0,0,0,1,1,1,44.514048989347714,40.1861605885798,90,10356,4463,2117,5174,9,32,4,2,0,2,1,1,0,1,0,0,1,0,0,0
75,bars,6-D3-206,155000.0,75.0,3.0,1.0,9.0,1.0,0,0,0,0,1,1,1,1,44.4701813882256,40.21611126911036,5075,9240,9317,2901,8027,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
86,bars,6-Sh2-48,130000.0,62.0,2.0,2.0,14.0,1.0,1,0,0,0,0,0,0,0,44.50671851403171,40.150346813084205,4027,9030,2735,5328,1873,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0
87,bars,4-3-1407,140000.0,85.0,3.0,2.0,12.0,2.0,0,0,0,0,1,0,1,1,44.52733885,40.20019725,1890,12020,5579,2869,7086,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0
88,bars,4-3-1406,300000.0,156.0,5.0,4.0,5.0,1.0,0,1,0,0,0,0,1,1,44.48842560030741,40.19502146089586,2477,8852,6524,517,5575,6,4,4,0,0,4,0,1,0,1,0,0,1,0,0,0
89,bars,4-3-1408,173000.0,80.0,3.0,2.0,5.0,1.0,0,1,0,0,0,1,1,1,44.499155086504345,40.19562050194883,1725,9667,6020,490,5750,7,3,1,2,0,0,2,0,0,0,0,1,1,0,0,0
90,bars,4-3-1409,125000.0,76.0,3.0,3.0,5.0,1.0,0,1,0,0,0,0,1,0,44.57251521346963,40.21266289465016,5707,16080,7448,6902,10533,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
91,bars,4-3-1410,160000.0,74.0,3.0,2.0,5.0,1.0,0,1,0,0,0,0,1,1,44.4972968,40.20489739999999,2588,10091,6976,902,6740,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0
92,bars,1-1-417,150000.0,35.5,1.0,5.0,5.0,1.0,0,0,0,0,0,1,1,0,44.525275644939626,40.18489525304254,873,11204,3964,3006,5566,2,11,6,1,0,12,0,2,0,1,0,0,1,0,0,0
93,bars,1-3-1293,465000.0,141.23,3.0,2.0,5.0,1.0,0,1,0,0,0,0,1,0,44.5180200101794,40.18203709652422,506,10519,3900,2664,4950,10,31,13,0,2,0,1,1,0,1,0,0,0,1,0,0
94,bars,4-2-195,111000.0,65.0,2.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,44.49857435,40.20958515,2974,10487,7379,1431,7271,0,0,1,0,1,0,0,4,0,0,0,1,1,0,0,0
95,bars,1-N-409,560000.0,110.0,3.0,15.0,18.0,2.0,1,0,0,0,0,0,0,0,44.51166722152143,40.182206184659805,512,10014,4189,2259,4691,10,17,5,4,0,1,5,4,0,1,0,0,0,1,0,0
96,bars,1-2-912,175000.0,61.4,2.0,3.0,7.0,1.0,0,0,0,0,1,0,1,0,44.505052000470215,40.183781674798254,887,9548,4660,1776,4619,3,6,6,2,1,1,2,0,0,1,0,0,1,0,0,0
97,bars,1-3-2120,300000.0,125.1,4.0,9.0,13.0,1.0,0,1,0,0,1,0,0,0,44.50449735,40.1832187,951,9481,4641,1805,4544,1,7,6,3,1,1,1,0,0,0,1,0,0,0,0,1
98,bars,6-Ach2-121,118000.0,59.0,2.0,4.0,6.0,1.0,0,0,0,0,1,0,1,0,44.46234708546167,40.1906722427931,4510,6769,7871,2767,5465,4,7,1,1,0,1,0,0,0,1,0,0,1,0,0,0
99,bars,4-3-1399,118000.0,65.0,3.0,4.0,9.0,1.0,1,1,0,0,0,0,0,0,44.55827345658594,40.199176396159615,3949,14382,5625,5481,8617,3,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0
100,bars,1-3-2119,390000.0,107.0,3.0,3.0,5.0,1.0,0,0,0,0,0,1,1,1,44.517821617617976,40.17743184144194,980,10353,3460,3003,4522,9,12,8,1,0,0,1,0,0,1,0,0,1,0,0,0
101,bars,1-2-985,165000.0,78.8,2.0,16.0,16.0,1.0,0,0,0,0,0,0,0,0,44.505052000470215,40.183781674798254,887,9548,4660,1776,4619,3,6,6,2,1,1,2,0,0,0,1,0,0,1,0,0
102,bars,4-3-1400,500000.0,120.0,3.0,8.0,17.0,2.0,0,1,0,1,1,0,1,1,44.50603348930943,40.19194689069822,1014,9991,5360,1195,5503,3,8,1,0,0,1,0,0,0,1,0,0,1,0,0,0
103,bars,1-3-1762,135000.0,75.0,3.0,5.0,4.0,1.0,0,0,0,0,0,0,0,0,44.583870697678144,40.21673211791397,6767,17145,8266,7951,11537,7,11,2,0,0,0,0,0,0,1,0,0,0,1,0,0
104,bars,1-3-2117,400000.0,120.0,3.0,2.0,4.0,1.0,0,1,0,0,0,1,1,0,44.512115310889925,40.18645225816211,257,10215,4571,1965,5129,5,22,3,5,2,1,2,2,0,1,0,0,1,0,0,0
105,bars,6-О-117,105000.0,102.0,4.0,5.0,5.0,1.0,0,1,0,0,0,0,1,0,44.47143471084086,40.20656139447395,4356,8527,8443,2162,6963,4,10,0,1,0,0,4,0,0,0,0,1,1,0,0,0
106,bars,6-Z3-260,230000.0,83.0,3.0,6.0,12.0,1.0,0,1,0,0,1,1,1,1,44.54016340378585,40.204839367697545,2987,13225,6009,4028,8105,4,2,2,0,0,0,1,1,0,0,1,0,1,0,0,0
107,bars,1-3-2116,240000.0,80.0,3.0,3.0,4.0,1.0,0,0,0,0,0,0,0,0,44.51181945133735,40.183313571671,407,10067,4285,2178,4806,11,24,6,5,0,1,4,5,0,1,0,0,0,1,0,0
108,bars,4-3-1398,175000.0,80.0,3.0,3.0,5.0,1.0,0,0,0,0,0,1,1,1,44.52065838607332,40.21056281413444,2771,12090,6823,2721,7875,3,3,2,0,0,0,0,3,0,0,0,1,1,0,0,0
109,bars,1-3-2115,270000.0,80.0,3.0,3.0,4.0,1.0,0,0,0,0,0,1,1,1,44.499472776670245,40.180107053322125,1479,8960,4673,1965,4080,1,6,7,1,0,0,0,2,0,1,0,0,1,0,0,0
110,bars,4-3-1397,161000.0,78.0,3.0,4.0,6.0,1.0,0,0,0,0,0,0,1,0,44.50603348930943,40.19194689069822,1014,9991,5360,1195,5503,3,8,1,0,0,1,0,0,0,1,0,0,0,1,0,0
111,bars,1-3-2112,187000.0,105.0,4.0,4.0,16.0,1.0,0,0,0,0,1,0,0,0,44.4201581,40.18735935,8065,4241,10877,6349,7309,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
112,bars,1-3-2113,480000.0,176.0,5.0,2.0,5.0,3.0,0,0,0,0,0,1,1,0,44.52011953345346,40.17752762983332,1034,10544,3373,3132,4650,8,11,9,1,0,0,1,0,0,1,0,0,1,0,0,0
113,bars,1-3-2111,135000.0,80.0,3.0,6.0,9.0,1.0,0,0,0,0,1,0,1,0,44.50603348930943,40.19194689069822,1014,9991,5360,1195,5503,3,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0
114,bars,4-3-1395,154000.0,61.0,3.0,1.0,5.0,1.0,0,0,0,0,0,1,0,0,44.499437857296144,40.19210576699806,1492,9500,5686,746,5372,3,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0
115,bars,1-2-988,239000.0,40.0,2.0,2.0,22.0,1.0,0,0,0,0,1,1,0,1,44.51166722152143,40.182206184659805,512,10014,4189,2259,4691,10,17,5,4,0,1,5,4,0,1,0,0,1,0,0,0
116,bars,1-3-205,430000.0,161.0,5.0,4.0,5.0,2.0,0,1,0,0,0,1,0,1,44.51808492499669,40.187096641397815,282,10714,4406,2352,5431,6,21,2,0,1,2,1,2,0,1,0,0,1,0,0,0
117,bars,4-3-1285,150000.0,77.0,3.0,5.0,5.0,1.0,0,0,0,0,0,0,1,0,44.509269992836,40.20967865714541,2678,11229,7014,1908,7471,2,1,2,1,0,1,1,1,0,0,0,1,1,0,0,0
118,bars,4-3-1367,415000.0,124.0,3.0,6.0,14.0,2.0,0,1,0,1,1,1,1,1,44.499437857296144,40.19210576699806,1492,9500,5686,746,5372,3,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0
119,bars,1-2-736,160000.0,78.0,2.0,1.0,6.0,1.0,0,0,0,0,1,0,1,1,44.5273774,40.17699785,1446,11125,3073,3634,5017,1,2,4,0,0,3,1,0,0,1,0,0,1,0,0,0
120,bars,4-3-1385,120000.0,78.3,3.0,1.0,9.0,1.0,0,0,0,0,1,0,1,0,44.52026531166853,40.1995721688172,1571,11452,5649,2264,6744,3,4,8,0,0,0,3,0,0,0,1,0,0,1,0,0
121,bars,1-N-311,320000.0,70.0,3.0,12.0,14.0,1.0,0,1,0,1,1,1,1,1,44.514048989347714,40.1861605885798,90,10356,4463,2117,5174,9,32,4,2,0,2,1,1,0,1,0,0,1,0,0,0
122,bars,1-3-2109,320000.0,90.0,3.0,2.0,5.0,1.0,0,0,0,0,0,1,0,1,44.514048989347714,40.1861605885798,90,10356,4463,2117,5174,9,32,4,2,0,2,1,1,0,0,0,1,0,0,0,1
123,bars,1-3-859,266000.0,90.0,3.0,8.0,10.0,1.0,0,1,0,0,1,1,1,1,44.505052000470215,40.183781674798254,887,9548,4660,1776,4619,3,6,6,2,1,1,2,0,0,0,1,0,0,0,0,1
124,bars,1-3-1613,450000.0,157.0,4.0,3.0,4.0,1.0,0,0,0,0,0,0,1,0,44.51181945133735,40.183313571671,407,10067,4285,2178,4806,11,24,6,5,0,1,4,5,0,1,0,0,1,0,0,0
125,bars,1-3-346,450000.0,90.0,3.0,4.0,5.0,1.0,0,1,0,0,0,1,0,0,44.514048989347714,40.1861605885798,90,10356,4463,2117,5174,9,32,4,2,0,2,1,1,0,1,0,0,1,0,0,0
126,bars,1-3-883,357000.0,115.2,4.0,5.0,5.0,1.0,0,1,0,0,0,0,0,0,44.514048989347714,40.1861605885798,90,10356,4463,2117,5174,9,32,4,2,0,2,1,1,0,0,0,1,1,0,0,0
127,bars,1-3-985,270000.0,120.0,4.0,5.0,5.0,1.0,0,1,0,0,0,0,0,0,44.5180200101794,40.18203709652422,506,10519,3900,2664,4950,10,31,13,0,2,0,1,1,0,0,0,1,0,1,0,0
128,bars,1-3-2060,300000.0,95.0,4.0,3.0,10.0,1.0,0,1,0,0,1,0,1,1,44.51181945133735,40.183313571671,407,10067,4285,2178,4806,11,24,6,5,0,1,4,5,0,0,1,0,1,0,0,0
